id,pick (a/b/tie),confidence (1-3),notes
1,a,3,A is more opinionated. It shows specific rather then general curiosity
2,b,2,B is specific and non-obvious
3,a,3,"B might sound like a good question, but if you read it and think about it, it doesn't really make sense"
4,b,3,A is boring
5,a,2,"Both questions are interesting, but I don't think anyone could answer B right now so it'd be a waste of time"
6,b,3,A doesn't make sense
7,b,1,"I think Dwarkesh's actual question was A, but I dislike it, so I'm choosing B"
8,b,3,B is a much more interesting question
9,a,3,"B agrees with Eliezer… but Dwarkesh is trying to play devil's advocate, so that makes no sense"
10,a,3,B just repeats info we already have
11,,,
12,,,
13,,,
14,,,
15,,,
16,,,
17,,,
18,,,
19,,,
20,,,
21,,,
22,,,
23,,,
24,,,
25,,,
26,,,
27,,,
28,,,
29,,,
30,,,
31,,,
32,,,
33,,,
34,,,
35,,,
36,,,
37,,,
38,,,
39,,,
40,,,
